,p_pi,p_tau_dist,p_tau_id
174,0.6183576043699068,"0.77111254410423
","0.707801905089968
"
175,0.21567844491088972,"0.0380384319181748
","0.0919657400787719
"
176,0.8428698538537596,"0.630716172535083
","0.926265889004846
"
177,0.274952805320804,"0.52149500722467
","0.190035065693571
"
178,0.21752439491578945,"0.158379750788188
","0.0984676630296345
"
179,0.48038747836339124,"0.529720921833228
","0.558597436720942
"
180,0.7757221690579492,"0.990188066178492
","0.805997664949074
"
181,0.6260102976235978,"0.946748816146026
","0.925014193961717
"
182,0.36892657500661186,"0.184093384297213
","0.217399914137538
"
183,0.3944731692927872,"0.45271699356673
","0.727726599716529
"
184,0.4540521377095087,"0.348182006281337
","0.207737246346523
"
185,0.8217412704402496,"0.849671951030758
","0.55919988223501
"
186,0.8854490261617355,"0.857223002478427
","0.883629892066678
"
187,0.5994420994878151,"0.313477988831546
","0.441646441042483
"
188,0.6436094058985817,"0.760478239080062
","1.51813311759508e-05
"
189,0.7508302860699786,"0.357703518468075
","0.515277958605062
"
190,0.3054304644404965,"0.177493051307318
","0.0855304774908783
"
191,0.1552856358889071,"0.160320852505447
","0.0365594918036715
"
192,0.37178595368834044,"0.0817175121126683
","0.139324124452013
"
193,0.17264864822592163,"0.160011527249604
","0.155735358499531
"
194,0.4804042574490337,"0.376118893026632
","0.12996508861661
"
195,0.5845969917592808,"0.926633820670519
","0.354746271609971
"
196,0.9130971368059068,"0.426976487266284
","0.906339972560212
"
197,0.6810915358747922,"0.373377232358899
","0.64658696245093
"
198,0.644865726139934,"0.545734509023857
","0.696916484782684
"
199,0.28558245935195226,"0.805843851559267
","0.0481131027045074
"
200,0.062143191830192346,"0.00232539588427949
","0.00319193417450725
"
201,0.8468017561671493,"0.942722781896295
","0.860490415000386
"
202,0.6027219696294308,"0.341226116043879
","0.111277190684616
"
203,0.7236211890556161,"0.656671040102915
","0.816550887937418
"
204,0.24077834328203973,"0.53567819727488
","0.370059755361251
"
205,0.4685706645206079,"0.272603997465927
","0.359384382062639
"
206,0.46274763188284496,"0.314631211331657
","0.47065782736259
"
207,0.45543442503167897,"0.229260056850356
","0.450158764121947
"
208,0.29269476396497063,"0.302759031739987
","0.580357253377669
"
209,0.4238774045507532,"0.464022126496646
","0.256033025146844
"
210,0.21070832028625552,"0.0967472695189694
","0.211623915450102
"
211,0.32673408271244186,"0.184387666972868
","0.637610919654984
"
212,0.10283094575608143,"0.0340347187606737
","0.0692152747575987
"
213,0.5824834886282189,"0.148465563711565
","0.445343775089938
"
214,0.0973386916234642,"0.0956378905539205
","0.196817146272245
"
215,0.24434121671093623,"0.0984628162597773
","0.466782923466927
"
216,0.18349903911172283,"0.182492909897783
","0.0921785204427497
"
217,0.8602777534618955,"0.976392649466822
","0.2245684536367
"
218,0.6479252939705988,"0.20671091681557
","0.293177771261989
"
219,0.30876471005848993,"0.325312590531065
","0.257007377287227
"
220,0.3540791491544161,"0.413178717879553
","0.490409365478862
"
221,0.07749812592972583,"0.0507789525333884
","0.20214117829418
"
222,0.008988009609086967,"0.0800422023862378
","0.0112691297256878
"
223,0.717869846661233,"0.0182769421238161
","0.545343935631605
"
224,0.01431917351399159,"0.417626953157108
","0.0271874375129098
"
225,0.3623034754662011,"0.399027976355941
","0.355406579379173
"
226,0.12159733082072821,"0.158506000358514
","0.059039223403876
"
227,0.6166300938874378,"0.58011807581779
","0.621339733584154
"
228,0.7967825307918994,"0.833558595783104
","0.631530634137166
"
229,0.5277790417965604,"0.367715465704864
","0.279126793079993
"
230,0.29991942487919254,"0.102928933503204
","0.361137839278633
"
231,0.246192924146315,"0.797092643151949
","0.247880855270303
"
232,0.5831875435035789,"0.511380763921639
","0.483000333922535
"
233,0.6479328172874524,"0.596785520569025
","0.728084976401195
"
