,p_pi,p_gamma
10,(0.05305553277111941+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
11,(0.9986252175076404+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
12,(0.9886252997006192+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
13,(0.7893293486642843+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
14,(0.9999999986451209+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
15,(1+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
16,(0.96521834248462+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
17,(0.9843518006518058+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
18,(0.5257911544167422+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
19,(0.888815074275295+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
20,(0.3282416647191818+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
21,(0.8470827566213465+0j),"[-0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0, -0.1, 0.1, 0.05, -0.05, 0, 0.01, 0.17, -0.02, 0.1, 0]"
